	control1	control2	control3	dmd1	dmd2	dmd3
ENSG00000224969	0	7	0	0	0	5
ENSG00000188157	69	56	102	42	29	102
ENSG00000242590	0	0	0	0	0	0
ENSG00000217801	18	13	7	4	36	14
ENSG00000273443	0	0	0	0	0	0
ENSG00000237330	9	0	1	1	5	0
ENSG00000131591	158	115	89	86	54	23
ENSG00000285812	0	0	0	0	0	0
ENSG00000223823	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0
ENSG00000198976	3	0	0	0	0	0
ENSG00000272141	34	5	1	0	4	2
ENSG00000205231	0	0	0	0	0	0
ENSG00000162571	11	6	34	44	100	57
ENSG00000186891	3	0	6	5	13	0
ENSG00000186827	0	0	0	7	4	19
ENSG00000078808	2590	2128	2304	2036	3686	2312
ENSG00000176022	1635	1334	1656	721	1188	1076
ENSG00000184163	2	6	0	7	6	7
ENSG00000260179	7	0	0	0	0	1
ENSG00000160087	1931	1616	1773	1252	1857	1565
ENSG00000230415	0	6	0	0	2	4
ENSG00000162572	130	71	64	37	96	63
ENSG00000131584	417	298	227	135	171	166
ENSG00000278073	0	0	0	0	0	0
ENSG00000169972	153	119	143	100	97	116
ENSG00000127054	606	481	573	318	566	365
ENSG00000283712	0	0	0	0	0	0
ENSG00000240731	7	0	5	0	2	0
ENSG00000224051	509	403	404	252	440	275
ENSG00000169962	21	6	24	8	10	1
ENSG00000107404	1678	1413	1307	691	1465	1030
ENSG00000284372	0	0	0	0	0	0
ENSG00000162576	1610	1380	1810	1624	3914	2006
ENSG00000175756	1565	1506	1455	1221	1638	1136
ENSG00000223663	0	0	0	0	0	0
ENSG00000221978	3277	1804	1804	881	1826	1282
ENSG00000224870	497	396	431	163	581	303
ENSG00000242485	1614	1355	1640	1128	1795	1351
ENSG00000264293	0	0	0	0	0	0
ENSG00000272455	26	13	5	10	13	6
ENSG00000235098	200	156	211	114	252	153
ENSG00000225905	0	0	0	0	0	0
ENSG00000205116	0	0	0	0	0	0
ENSG00000225285	0	0	0	0	1	0
ENSG00000179403	274	233	236	360	639	326
ENSG00000215915	20	5	14	0	16	25
ENSG00000160072	118	69	76	31	51	30
ENSG00000284740	0	0	0	1	0	0
ENSG00000197785	247	204	197	150	167	115
ENSG00000205090	198	177	201	96	205	151
ENSG00000160075	2246	2159	2067	1610	1967	1672
ENSG00000215014	61	12	18	10	51	36
ENSG00000274481	0	0	0	0	0	0
ENSG00000228594	214	168	216	114	326	118
ENSG00000286989	11	1	5	4	6	4
ENSG00000272106	850	477	580	230	416	345
ENSG00000197530	828	481	595	378	638	332
ENSG00000189409	0	0	0	7	10	1
ENSG00000248333	743	346	423	189	579	328
ENSG00000272004	12	3	1	6	0	8
ENSG00000189339	1432	856	803	687	1312	801
ENSG00000269737	0	0	0	0	0	0
ENSG00000215914	0	0	0	0	0	0
ENSG00000008128	13	4	0	0	0	0
ENSG00000268575	2	3	0	0	1	4
ENSG00000227775	24	57	17	0	0	1
ENSG00000215790	2136	1477	1264	76	288	216
ENSG00000008130	396	394	392	422	236	348
ENSG00000078369	12568	11728	12086	9274	8971	10282
ENSG00000231050	27	24	14	0	20	23
ENSG00000169885	0	0	0	0	0	6
ENSG00000178821	20	24	34	9	33	35
ENSG00000142609	26	17	60	9	79	32
ENSG00000233542	14	10	8	0	5	0
ENSG00000187730	28	43	51	10	55	54
ENSG00000226969	1	0	0	0	2	0
ENSG00000067606	663	642	672	397	529	504
ENSG00000271806	0	0	0	0	0	0
ENSG00000182873	122	73	55	43	71	75
ENSG00000162585	610	518	488	298	591	397
ENSG00000234396	0	0	0	0	0	0
ENSG00000157933	2860	2157	1764	1329	3044	2111
ENSG00000287356	57	24	36	28	74	19
ENSG00000116151	180	94	129	81	89	96
ENSG00000272161	4	1	0	0	12	0
ENSG00000269896	62	24	23	19	52	22
ENSG00000272420	83	66	58	2	30	23
ENSG00000157916	1035	817	850	474	1133	669
ENSG00000157911	1052	773	858	430	519	497
ENSG00000149527	3	2	2	0	2	0
ENSG00000224387	0	0	0	0	0	0
ENSG00000229393	0	0	0	0	0	0
ENSG00000157881	19	30	10	30	8	41
ENSG00000197921	0	0	0	2	0	0
ENSG00000272449	0	0	0	0	0	0
ENSG00000238164	0	0	0	0	0	0
ENSG00000157873	4	0	0	12	5	0
ENSG00000225931	0	0	0	0	0	0
ENSG00000228037	0	0	0	0	0	0
ENSG00000157870	0	0	2	2	0	0
ENSG00000142606	0	0	0	0	0	0
ENSG00000237058	0	0	0	0	3	0
ENSG00000215912	0	0	0	0	0	0
ENSG00000285945	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0
ENSG00000287396	2	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0
ENSG00000177133	183	88	168	134	454	155
ENSG00000142611	1157	667	733	352	736	395
ENSG00000283572	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	3	0
ENSG00000279839	3	6	7	0	3	8
ENSG00000272235	3	28	25	60	74	15
ENSG00000287828	0	0	3	16	5	7
ENSG00000286518	0	0	0	0	0	11
ENSG00000130762	46	21	43	32	36	33
ENSG00000272088	1	0	1	1	1	2
ENSG00000162591	370	156	246	172	333	184
ENSG00000207776	0	0	0	0	0	0
ENSG00000238260	4	0	0	0	0	0
ENSG00000158109	580	423	485	292	797	393
ENSG00000116213	523	382	464	127	383	383
ENSG00000078900	342	202	252	107	398	144
ENSG00000227589	0	0	0	1	0	0
ENSG00000235131	0	0	0	0	0	0
ENSG00000227372	429	260	303	167	356	249
ENSG00000276189	0	0	0	0	0	0
ENSG00000162592	0	0	0	0	0	0
ENSG00000235169	101	90	138	71	144	71
ENSG00000130764	2579	1907	2129	984	2254	1442
ENSG00000266075	19	27	9	0	5	10
ENSG00000272153	2	10	6	10	4	12
ENSG00000116198	1740	969	1201	761	1336	989
ENSG00000169598	352	230	267	132	212	154
ENSG00000198912	581	451	397	242	471	337
ENSG00000236423	1	9	2	10	9	2
ENSG00000233304	0	12	13	3	0	0
ENSG00000226374	0	0	0	0	0	0
ENSG00000284668	0	0	0	0	0	0
ENSG00000284703	0	2	0	0	0	0
ENSG00000229280	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0
ENSG00000196581	883	599	678	271	329	451
ENSG00000287586	0	0	0	0	10	0
ENSG00000284739	0	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0
ENSG00000264101	0	0	0	0	0	0
ENSG00000131697	299	363	193	100	238	131
ENSG00000069424	250	247	188	91	184	113
ENSG00000116254	210	180	103	118	121	170
ENSG00000285629	0	0	0	0	0	0
ENSG00000116251	5611	4783	4851	2267	4553	3145
ENSG00000226944	5	0	1	8	15	2
ENSG00000158286	23	0	17	0	11	5
ENSG00000116237	836	763	696	270	683	441
ENSG00000225077	0	0	0	0	0	0
ENSG00000173673	0	0	0	0	0	0
ENSG00000158292	738	604	510	436	819	593
ENSG00000097021	476	636	355	249	458	358
ENSG00000271746	6	0	14	0	0	11
ENSG00000069812	50	21	41	8	41	10
ENSG00000187017	54	58	78	41	139	44
ENSG00000265392	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	0
ENSG00000215788	223	98	109	53	152	64
ENSG00000171680	607	351	326	231	522	297
ENSG00000162408	2021	1586	1685	646	1254	1216
ENSG00000253022	0	0	0	0	0	0
ENSG00000229519	1	4	0	0	1	1
ENSG00000173662	1	0	1	13	7	8
ENSG00000204859	111	131	88	53	107	63
ENSG00000162413	587	448	410	360	827	498
ENSG00000116273	526	476	442	219	596	230
ENSG00000041988	404	326	336	274	430	359
ENSG00000007923	560	537	535	330	422	406
ENSG00000228750	0	0	0	0	0	0
ENSG00000284744	0	0	0	0	0	0
ENSG00000237436	22	17	10	11	16	19
ENSG00000171735	3396	2350	2452	1294	2022	2070
ENSG00000227950	0	1	0	0	0	0
ENSG00000237365	0	0	0	0	0	0
ENSG00000207056	1	1	1	0	0	0
ENSG00000237402	9	14	11	2	13	1
ENSG00000237728	0	0	0	0	0	0
ENSG00000225126	0	0	0	0	0	0
ENSG00000270171	35	11	20	3	13	9
ENSG00000270035	3	4	2	4	0	6
ENSG00000269978	34	10	5	17	2	15
ENSG00000049245	660	478	790	363	910	439
ENSG00000269925	26	25	36	19	34	16
ENSG00000049246	440	386	446	356	192	290
ENSG00000236266	0	0	0	0	0	0
ENSG00000049247	0	0	0	1	1	2
ENSG00000049249	6	0	0	0	0	1
ENSG00000270330	0	0	0	0	0	0
ENSG00000116288	4386	4554	4789	3284	5614	3858
ENSG00000200344	0	0	0	0	0	0
ENSG00000284747	62	18	46	14	23	8
ENSG00000284716	2	0	0	0	0	0
ENSG00000116285	330	272	261	153	268	155
ENSG00000238290	2	1	2	1	5	0
ENSG00000232848	20	1	21	4	0	7
ENSG00000229305	0	0	0	0	0	0
ENSG00000227634	0	0	0	0	0	0
ENSG00000200975	0	0	0	0	0	5
ENSG00000233645	0	0	0	0	0	0
ENSG00000251977	0	0	0	0	0	0
ENSG00000162426	103	85	84	34	74	37
ENSG00000252254	0	0	0	0	0	0
ENSG00000142599	4509	3325	3091	1558	2521	2190
ENSG00000232912	0	0	0	5	0	0
ENSG00000221083	14	6	0	1	0	0
ENSG00000270282	0	0	0	0	0	0
ENSG00000234619	1	0	1	0	1	0
ENSG00000224315	5	0	10	0	0	0
ENSG00000222511	1	0	0	2	0	0
ENSG00000226545	0	0	0	1	0	0
ENSG00000228423	5	0	0	12	0	0
ENSG00000229716	0	1	0	0	1	0
ENSG00000074800	9852	10597	9861	6429	12897	8751
ENSG00000274258	0	0	0	0	0	0
ENSG00000230679	6	0	7	16	4	11
ENSG00000201725	0	0	0	0	0	0
ENSG00000238249	0	0	0	0	0	0
ENSG00000232208	0	0	0	0	2	0
ENSG00000232663	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	0	0
ENSG00000265141	0	0	0	0	0	0
ENSG00000197241	0	0	0	0	0	0
ENSG00000142583	38	15	10	26	76	46
ENSG00000252404	1	0	0	0	0	0
ENSG00000180758	73	70	100	113	149	111
ENSG00000228526	47	38	27	9	45	23
ENSG00000284357	0	0	0	0	0	0
ENSG00000234546	38	36	35	151	241	108
ENSG00000049239	516	376	512	458	934	512
ENSG00000171621	94	117	102	61	279	90
ENSG00000284652	3	6	5	0	3	1
ENSG00000284693	27	12	3	17	23	30
ENSG00000252956	0	0	0	0	0	0
ENSG00000235263	0	0	0	0	1	0
ENSG00000171612	472	451	370	190	327	204
ENSG00000231181	2	11	2	0	11	12
ENSG00000188807	345	303	206	99	273	179
ENSG00000171608	130	135	97	61	212	53
ENSG00000179840	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0
ENSG00000231789	48	47	49	80	65	41
ENSG00000171603	4728	3692	3926	2855	4722	3222
ENSG00000271264	0	0	0	0	0	0
ENSG00000280113	0	0	0	0	0	0
ENSG00000178585	1667	1372	1872	765	1411	1012
ENSG00000223989	0	0	0	0	0	0
ENSG00000285701	0	0	0	0	0	0
ENSG00000162441	2333	1673	1803	1335	2558	1532
ENSG00000228150	9	5	10	24	6	2
ENSG00000173614	160	149	161	104	272	171
ENSG00000202415	0	0	0	0	0	0
ENSG00000283611	0	0	0	0	0	0
ENSG00000265521	0	0	0	0	0	7
ENSG00000241326	0	0	0	0	0	0
ENSG00000162444	23	14	21	25	54	18
ENSG00000130939	2337	1771	2013	1099	1838	1372
ENSG00000224340	0	1	0	1	0	0
ENSG00000233623	0	0	0	0	0	0
ENSG00000201746	0	0	0	0	0	0
ENSG00000054523	7946	5120	4589	2367	4314	4639
ENSG00000264881	0	0	0	0	0	0
ENSG00000199562	13	10	0	2	4	2
ENSG00000264501	0	0	0	0	0	0
ENSG00000284735	0	0	0	0	3	0
ENSG00000284642	120	46	40	25	41	32
ENSG00000142657	3970	4051	4629	2912	2046	2859
ENSG00000271989	5	5	15	0	0	0
ENSG00000251503	0	0	0	0	0	0
ENSG00000175279	172	121	115	101	222	98
ENSG00000241563	0	0	0	1	16	5
ENSG00000160049	3654	1640	2546	1617	3550	1978
ENSG00000203469	0	0	0	0	0	0
ENSG00000142655	327	289	380	200	225	154
ENSG00000287727	0	0	0	0	0	1
ENSG00000243267	0	0	0	0	0	0
ENSG00000130940	589	412	535	206	343	331
ENSG00000272078	0	4	0	0	2	0
ENSG00000225158	0	0	0	0	0	0
ENSG00000175262	0	0	0	0	0	3
ENSG00000215785	0	0	0	0	0	0
ENSG00000120948	1484	1077	1421	872	1020	1067
ENSG00000277726	0	0	0	0	0	0
ENSG00000009724	4	2	7	3	10	1
ENSG00000271895	4	0	1	0	0	0
ENSG00000116649	2007	1515	1444	884	1534	985
ENSG00000171824	1276	918	1060	694	1063	905
ENSG00000226849	5	12	2	2	9	0
ENSG00000230337	11	10	9	21	10	4
ENSG00000198793	1013	619	725	387	520	475
ENSG00000225602	0	0	0	0	0	0
ENSG00000253086	0	0	0	0	0	0
ENSG00000171819	8	4	0	24	19	54
ENSG00000207451	0	0	0	0	0	0
ENSG00000238173	0	0	0	0	1	0
ENSG00000120942	535	451	433	274	394	302
ENSG00000238199	0	0	0	0	0	0
ENSG00000284646	8	0	1	0	0	0
ENSG00000224338	0	0	0	0	0	0
ENSG00000204624	369	292	254	168	143	219
ENSG00000285833	0	0	0	0	0	0
ENSG00000235643	0	0	2	1	0	0
ENSG00000284708	0	0	0	0	0	0
ENSG00000116661	95	64	40	224	368	215
ENSG00000132879	410	270	316	387	478	491
ENSG00000116663	4	3	3	24	32	8
ENSG00000116670	1234	1532	1464	996	946	1212
ENSG00000162490	1749	1540	1070	1971	2650	2807
ENSG00000177674	270	252	303	198	389	221
ENSG00000215910	2	1	0	0	9	0
ENSG00000177553	0	0	0	0	0	0
ENSG00000177000	980	754	664	431	895	560
ENSG00000011021	586	397	406	183	385	352
ENSG00000276470	0	0	0	0	0	0
ENSG00000278852	0	0	0	0	0	0
ENSG00000175206	28	49	39	74	261	125
ENSG00000275915	0	0	0	0	0	0
ENSG00000120937	0	0	0	0	0	1
ENSG00000224904	0	0	0	0	0	0
ENSG00000285646	7	0	2	1	0	0
ENSG00000199347	0	0	0	0	0	0
ENSG00000201801	0	0	0	0	0	0
ENSG00000116685	1153	1008	1190	559	1536	871
ENSG00000083444	605	586	649	1130	2053	1298
ENSG00000287384	3	0	0	4	0	0
ENSG00000116688	1538	1202	1321	1072	1263	972
ENSG00000270914	0	0	0	0	1	0
ENSG00000116691	208	177	176	134	158	118
ENSG00000202461	0	0	0	0	0	0
ENSG00000276869	0	0	0	0	0	0
ENSG00000243539	0	0	0	0	0	0
ENSG00000120949	0	0	0	0	0	0
ENSG00000201135	0	0	0	0	0	0
ENSG00000227875	0	1	0	0	0	0
ENSG00000285604	0	0	0	0	0	0
ENSG00000283789	0	0	0	0	0	0
ENSG00000028137	187	150	306	16	37	18
ENSG00000263676	0	0	0	0	0	0
ENSG00000225196	0	0	0	0	0	0
ENSG00000252969	0	0	0	0	0	0
ENSG00000048707	786	660	597	274	609	495
ENSG00000239149	0	0	0	0	0	0
ENSG00000229484	0	0	0	0	0	0
ENSG00000162496	137	67	72	156	239	199
ENSG00000221340	0	0	0	0	0	0
ENSG00000276830	0	0	0	0	0	0
ENSG00000272482	4	2	1	2	10	0
ENSG00000204518	0	0	0	0	0	0
ENSG00000226166	0	0	0	0	0	0
ENSG00000188984	0	0	0	0	0	0
ENSG00000157330	45	20	34	130	272	101
ENSG00000116726	0	0	0	0	0	0
ENSG00000116721	0	0	0	0	0	0
ENSG00000228338	0	0	0	0	0	0
ENSG00000239810	0	0	0	0	0	0
ENSG00000231103	0	0	0	0	0	0
ENSG00000179172	0	0	0	0	0	0
ENSG00000120952	0	0	0	0	0	0
ENSG00000243073	0	0	0	0	0	0
ENSG00000187545	0	0	0	0	0	0
ENSG00000204510	0	0	0	0	0	0
ENSG00000207434	0	0	0	0	0	0
ENSG00000234064	0	0	0	0	0	0
ENSG00000232423	0	0	0	0	0	0
ENSG00000274178	0	0	0	0	0	0
ENSG00000274764	0	0	0	0	0	0
ENSG00000277058	0	0	0	0	0	0
ENSG00000229571	0	0	0	0	0	0
ENSG00000277862	0	0	0	0	0	0
ENSG00000236179	0	0	0	0	0	0
ENSG00000275774	0	0	0	0	0	0
ENSG00000229978	0	0	0	0	0	0
ENSG00000233336	0	0	0	0	0	0
ENSG00000280267	0	0	0	0	0	0
ENSG00000179412	0	0	0	0	0	0
ENSG00000204505	0	0	0	0	0	0
ENSG00000279169	0	0	0	0	0	0
ENSG00000279804	0	0	0	0	0	0
ENSG00000250894	0	0	0	0	0	0
ENSG00000270601	0	0	0	0	0	0
ENSG00000231219	0	0	0	0	0	0
ENSG00000207511	0	0	0	0	0	0
ENSG00000182330	0	0	0	0	0	0
ENSG00000237700	0	0	0	0	0	0
ENSG00000204501	0	0	0	0	0	0
ENSG00000228229	0	0	0	0	0	0
ENSG00000204481	0	0	0	0	0	0
ENSG00000204480	0	0	0	0	0	0
ENSG00000204479	0	0	0	0	0	0
ENSG00000204478	0	0	0	0	0	0
ENSG00000162494	0	0	2	4	0	3
ENSG00000259961	0	0	0	0	0	0
ENSG00000215909	0	0	0	0	0	0
ENSG00000162493	539	365	423	787	1265	672
ENSG00000222952	0	0	0	0	0	0
ENSG00000237445	0	0	1	0	0	0
ENSG00000253085	0	0	0	0	0	0
ENSG00000116731	3038	1975	1907	1073	1888	1647
ENSG00000189337	1400	1066	1073	711	1419	944
ENSG00000252151	0	0	0	0	0	0
ENSG00000231606	0	0	0	0	0	0
ENSG00000234593	0	0	0	0	0	0
ENSG00000235829	0	0	0	0	0	0
ENSG00000287756	0	0	0	0	0	0
ENSG00000175147	11	9	27	24	25	26
ENSG00000171729	252	203	217	214	372	229
ENSG00000204464	0	0	0	0	0	0
ENSG00000215720	4	0	0	0	0	0
ENSG00000278480	0	0	0	0	0	0
ENSG00000142621	159	136	173	239	504	220
ENSG00000233485	3	0	0	0	0	1
ENSG00000236045	0	0	0	0	0	0
ENSG00000228140	9	12	22	0	11	3
ENSG00000142634	564	475	706	243	296	270
ENSG00000162438	6	0	0	0	0	0
ENSG00000142615	0	0	0	0	0	0
ENSG00000215704	0	0	0	0	0	4
ENSG00000132906	258	174	222	164	197	175
ENSG00000116138	952	706	594	373	746	545
ENSG00000251866	8	0	0	0	0	0
ENSG00000272510	1	18	3	7	4	20
ENSG00000116771	41	18	19	83	148	92
ENSG00000237301	26	0	5	2	1	0
ENSG00000235084	0	0	0	0	0	0
ENSG00000252417	0	0	0	0	0	0
ENSG00000236500	0	0	0	0	0	0
ENSG00000197312	631	266	418	220	526	319
ENSG00000215695	0	0	0	0	0	0
ENSG00000271742	0	0	0	0	0	0
ENSG00000116786	1268	1144	1381	1127	1258	1194
ENSG00000237938	0	0	0	0	0	0
ENSG00000162461	44	26	11	16	31	13
ENSG00000224459	2	0	0	0	0	0
ENSG00000162460	0	0	5	11	29	11
ENSG00000162458	284	231	228	101	454	336
ENSG00000224321	9	1	0	0	1	2
ENSG00000233954	65	68	43	22	32	17
ENSG00000178715	3	11	7	1	2	1
ENSG00000179743	540	553	492	214	347	279
ENSG00000065526	4654	2593	2487	1237	3021	2152
ENSG00000270620	0	0	0	0	0	0
ENSG00000116809	441	384	349	188	282	261
ENSG00000234607	0	0	0	0	0	3
ENSG00000231353	0	0	0	0	0	0
ENSG00000275503	0	0	0	0	0	0
ENSG00000224966	0	0	0	0	0	0
ENSG00000183888	0	1	6	0	3	1
ENSG00000233078	0	0	0	0	0	0
ENSG00000173641	30	104	50	317	890	434
ENSG00000186510	9	0	4	23	9	3
ENSG00000232456	0	2	0	0	0	8
ENSG00000184908	0	0	4	0	10	8
ENSG00000185519	18	42	26	14	28	10
ENSG00000142627	402	325	277	86	308	166
ENSG00000227959	0	0	0	0	0	0
ENSG00000224621	0	0	0	0	0	0
ENSG00000234166	0	0	0	0	0	0
ENSG00000142632	380	313	433	185	558	234
ENSG00000237276	1	0	11	0	0	0
ENSG00000288398	195	134	83	70	137	150
ENSG00000132881	24	17	9	8	30	11
ENSG00000233929	3	2	0	0	7	11
ENSG00000037637	562	427	449	265	457	431
ENSG00000055070	1250	982	1157	931	1523	1093
ENSG00000226457	2	3	1	0	2	2
ENSG00000187144	0	0	0	0	0	0
ENSG00000157191	533	522	449	377	650	435
ENSG00000226029	11	0	6	18	34	12
ENSG00000080947	109	26	38	42	47	90
ENSG00000206652	0	0	0	0	0	0
ENSG00000261135	0	0	0	0	0	0
ENSG00000285853	0	0	2	0	0	0
ENSG00000224174	0	0	0	0	0	0
ENSG00000233421	8	5	0	0	2	0
ENSG00000277344	0	0	0	0	0	0
ENSG00000225710	0	0	0	0	0	0
ENSG00000219481	506	496	304	242	558	451
ENSG00000271732	1	0	6	0	0	0
ENSG00000215908	539	339	400	208	538	287
ENSG00000283773	0	0	0	0	0	0
ENSG00000186301	4	0	0	6	9	0
ENSG00000282143	0	0	0	0	0	0
ENSG00000207513	0	0	0	0	0	0
ENSG00000280114	0	0	0	0	0	0
ENSG00000236698	17	19	18	4	19	7
ENSG00000268869	0	0	0	0	0	0
ENSG00000279151	0	0	0	0	0	0
ENSG00000282740	0	0	0	0	0	0
ENSG00000058453	959	613	574	351	741	437
ENSG00000227684	0	0	0	0	0	0
ENSG00000207389	0	0	0	0	0	0
ENSG00000186715	0	0	0	0	0	0
ENSG00000223643	0	0	0	0	0	0
ENSG00000230239	0	0	0	0	0	0
ENSG00000263811	0	0	0	0	0	0
ENSG00000228549	9	10	5	13	9	4
ENSG00000277234	0	0	0	0	0	0
ENSG00000238142	72	78	66	107	207	119
ENSG00000235241	0	0	0	0	0	0
ENSG00000207005	0	0	0	0	0	0
ENSG00000272426	1	6	0	7	2	4
ENSG00000117122	27	15	28	35	25	58
ENSG00000286898	0	1	0	0	0	0
ENSG00000226526	0	0	0	0	0	0
ENSG00000159363	341	211	224	170	188	141
ENSG00000288636	0	0	0	0	0	0
ENSG00000117118	544	548	524	298	576	468
ENSG00000117115	16	13	2	17	19	13
ENSG00000204362	0	0	0	0	0	0
ENSG00000282843	0	0	0	0	0	0
ENSG00000142623	0	0	0	0	0	0
ENSG00000142619	0	0	6	0	0	0
ENSG00000266634	0	0	0	0	0	0
ENSG00000159339	0	0	0	0	0	0
ENSG00000276747	0	0	0	0	0	0
ENSG00000227751	0	0	0	0	0	0
ENSG00000179051	99	70	127	82	42	72
ENSG00000074964	482	419	382	190	419	307
ENSG00000236648	5	5	0	0	0	0
ENSG00000117148	0	2	0	0	0	0
ENSG00000284653	0	0	0	0	0	0
ENSG00000261781	0	0	0	0	0	0
ENSG00000117154	497	351	255	52	150	144
ENSG00000280222	7	0	0	0	0	0
ENSG00000230035	0	0	0	0	0	0
ENSG00000225387	0	2	0	0	0	0
ENSG00000179023	29	3	40	67	143	51
ENSG00000235282	0	0	0	0	0	0
ENSG00000225478	0	0	0	0	0	0
ENSG00000009709	109	120	26	22	63	18
ENSG00000179002	0	0	0	0	0	0
ENSG00000159423	270	299	213	295	631	386
ENSG00000265606	0	0	0	0	0	0
ENSG00000221662	0	0	0	0	0	0
ENSG00000169991	244	157	192	110	233	175
ENSG00000272084	4	7	4	0	8	0
ENSG00000127481	1554	1053	987	538	775	806
ENSG00000230424	10	26	32	37	36	14
ENSG00000127463	625	448	435	299	505	398
ENSG00000053372	1109	811	1091	538	895	520
ENSG00000286064	0	0	0	0	0	0
ENSG00000211454	7	7	7	2	11	12
ENSG00000162482	10	9	9	0	7	4
ENSG00000270728	0	0	0	0	0	0
ENSG00000053371	1236	1216	1272	743	1435	823
ENSG00000200403	7	0	0	0	5	1
ENSG00000040487	111	58	86	54	82	61
ENSG00000077549	8172	6206	6675	3026	7263	5006
ENSG00000240490	0	0	0	0	0	2
ENSG00000173436	759	657	730	489	777	518
ENSG00000201609	0	0	0	0	0	0
ENSG00000235185	0	0	0	0	0	0
ENSG00000158747	376	515	536	302	614	378
ENSG00000270136	0	0	0	0	0	0
ENSG00000226396	75	49	85	75	113	71
ENSG00000158748	0	2	1	0	0	0
ENSG00000162542	47	24	41	57	63	36
ENSG00000178828	2	0	0	0	3	0
ENSG00000235434	0	0	0	0	0	0
ENSG00000169914	700	453	473	172	328	291
